timestamp,total_people,Right Zone,Entance,new
2025-12-25 15:38:49,13,3,5,5
2025-12-25 15:38:49,12,3,4,5
2025-12-25 15:38:49,11,2,4,5
2025-12-25 15:38:49,11,2,4,5
2025-12-25 15:38:49,12,3,4,5
2025-12-25 15:38:50,11,2,4,5
2025-12-25 15:38:50,13,3,5,5
2025-12-25 15:38:50,13,3,5,5
2025-12-25 15:38:50,14,4,5,5
2025-12-25 15:38:50,12,4,4,4
2025-12-25 15:38:50,12,4,4,4
2025-12-25 15:38:50,12,4,4,4
2025-12-25 15:38:50,12,4,4,4
2025-12-25 15:38:50,12,4,4,4
2025-12-25 15:38:51,10,4,3,3
2025-12-25 15:38:51,10,4,3,3
2025-12-25 15:38:51,10,4,3,3
2025-12-25 15:38:51,10,4,3,3
2025-12-25 15:38:51,10,4,3,3
2025-12-25 15:38:51,9,3,3,3
2025-12-25 15:38:51,10,4,3,3
2025-12-25 15:38:51,10,4,3,3
2025-12-25 15:38:51,10,4,3,3
2025-12-25 15:38:52,10,4,3,3
2025-12-25 15:38:52,7,3,2,2
2025-12-25 15:38:52,8,4,2,2
2025-12-25 15:38:52,7,3,2,2
2025-12-25 15:38:52,8,4,2,2
2025-12-25 15:38:52,8,4,2,2
2025-12-25 15:38:52,10,2,4,4
2025-12-25 15:38:52,9,3,3,3
2025-12-25 15:38:52,10,2,4,4
2025-12-25 15:38:53,8,2,3,3
2025-12-25 15:38:53,8,2,3,3
2025-12-25 15:38:53,8,2,3,3
2025-12-25 15:38:53,8,2,3,3
2025-12-25 15:38:53,8,2,3,3
2025-12-25 15:38:53,8,2,3,3
2025-12-25 15:38:53,8,2,3,3
2025-12-25 15:38:53,7,2,3,2
2025-12-25 15:38:53,9,3,3,3
2025-12-25 15:38:54,11,3,4,4
2025-12-25 15:38:54,10,3,4,3
2025-12-25 15:38:54,10,3,4,3
2025-12-25 15:38:54,10,3,4,3
2025-12-25 15:38:54,12,3,5,4
2025-12-25 15:38:54,12,3,5,4
2025-12-25 15:38:54,10,3,4,3
2025-12-25 15:38:54,10,3,4,3
2025-12-25 15:38:54,12,3,4,5
2025-12-25 15:38:55,12,3,4,5
2025-12-25 15:38:55,12,4,4,4
2025-12-25 15:38:55,11,3,4,4
2025-12-25 15:38:55,12,4,4,4
2025-12-25 15:38:55,11,3,4,4
2025-12-25 15:38:55,11,3,4,4
2025-12-25 15:38:55,11,3,4,4
2025-12-25 15:38:56,15,5,5,5
2025-12-25 15:38:56,14,4,5,5
2025-12-25 15:38:56,16,5,5,6
2025-12-25 15:38:56,16,4,5,7
2025-12-25 15:38:56,15,4,5,6
2025-12-25 15:38:56,15,4,5,6
2025-12-25 15:38:56,15,4,5,6
